p (mbar),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),T (degC)
981.75,85.4,7.95,6.79,1.16,4.31,6.92,1232.16,2.87,5.65,259.5,3.68
982.23,84.4,8.05,6.79,1.26,4.31,6.92,1232.01,1.21,3.48,283.4,3.85
983.19,88.5,7.63,6.76,0.88,4.28,6.87,1236.58,0.8,1.06,223.2,3.1
984.51,89.3,7.63,6.82,0.82,4.32,6.93,1238.21,1.07,2.04,219.1,3.1
985.54,90.2,7.14,6.44,0.7,4.07,6.53,1243.92,1.59,2,235.3,2.16
986.56,88.6,6.74,5.97,0.77,3.78,6.06,1249.04,1.2,2,240.3,1.37
987.29,94.3,5.92,5.58,0.34,3.52,5.65,1258.41,0.65,1.32,179.9,-0.44
987.83,96.3,5.26,5.07,0.19,3.2,5.13,1266.73,0.38,0.72,294.4,-2.03
987.84,98.1,5.22,5.12,0.1,3.23,5.18,1267.23,2.14,3,201.8,-2.14
987.86,93.8,5.64,5.29,0.35,3.34,5.35,1262.33,2.91,3.69,201.7,-1.1
987.86,93,5.4,5.02,0.38,3.17,5.08,1265.21,1.96,2.78,210.4,-1.69
987.71,92.1,5.23,4.82,0.41,3.04,4.88,1267.04,0.58,1.44,241.9,-2.1
987.47,90.1,5.33,4.8,0.53,3.03,4.86,1265.62,1.73,2.14,211.7,-1.86
987.33,89.7,5.79,5.2,0.6,3.28,5.26,1259.98,2.88,3.73,177.7,-0.72
986.5,85.9,6.42,5.52,0.91,3.49,5.59,1252.26,2.9,4,180.1,0.69
985.55,74.9,7.76,5.81,1.95,3.68,5.9,1238.94,3.97,6.53,180.2,3.34
985.11,69.5,8.04,5.59,2.45,3.54,5.67,1236.26,4.75,8.39,186.2,3.83
984.63,76.7,7.64,5.86,1.78,3.71,5.95,1238.81,5.06,8.79,187.9,3.1
984.65,77.1,7.58,5.84,1.74,3.7,5.94,1239.3,1.72,2.56,143.8,3
985.17,78.8,7.86,6.19,1.67,3.92,6.29,1237.52,2.87,3.92,187.5,3.51
985.31,88.9,7.55,6.71,0.84,4.25,6.81,1240,2.16,3.36,171.4,2.94
985.57,89.3,7.59,6.78,0.81,4.29,6.88,1239.92,0.96,2.4,125.8,3.02
985.41,89.7,7.84,7.03,0.81,4.45,7.14,1237.55,2.34,3.84,180.2,3.48
985.38,91.5,7.88,7.21,0.67,4.56,7.32,1237.11,1.32,2.2,179.2,3.55
984.66,94.6,7.92,7.49,0.43,4.75,7.61,1235.77,2.08,3,177.4,3.62
984.04,94.3,8.38,7.9,0.48,5.01,8.03,1231.23,1.97,2.92,187.1,4.42
983.84,92,8.71,8.01,0.7,5.08,8.14,1228.49,1.93,2.92,177.5,4.97
983.93,94.3,8.85,8.35,0.5,5.3,8.49,1227.4,2.9,3.64,182.2,5.2
983.69,88.4,10.29,9.09,1.19,5.77,9.24,1217.27,3.38,6.49,173.1,7.37
983,84.7,10.77,9.12,1.65,5.79,9.28,1213.5,3.36,4.26,184.6,8.04
982.11,83.2,10.8,8.98,1.81,5.71,9.15,1212.29,3.21,4.32,173.5,8.08
982.03,82.7,10.7,8.85,1.85,5.62,9.01,1212.82,3.03,4.4,180.6,7.95
981.67,87.9,10.21,8.97,1.24,5.71,9.14,1215.3,2.64,3.66,185,7.26
980.84,90.5,9.96,9.02,0.95,5.74,9.19,1215.79,2.75,4.24,176.6,6.9
980.81,89.2,10.38,9.26,1.12,5.89,9.44,1213.06,3.68,5.45,204.1,7.5
981.45,87,11.06,9.63,1.44,6.12,9.81,1209.63,4.77,7.45,210.1,8.44
982.49,85.9,10.94,9.4,1.54,5.97,9.56,1211.75,3.09,5.61,213.8,8.27
983.72,86.8,10.75,9.33,1.42,5.92,9.49,1214.38,2.42,4.93,216.6,8.02
984.72,91.1,9.64,8.78,0.86,5.57,8.92,1222.78,1.05,1.54,240.8,6.43
985.92,92.1,8.85,8.15,0.7,5.16,8.27,1230,2.17,2.76,254,5.2
986.67,94.7,7.28,6.9,0.39,4.36,6.99,1243.88,1.07,1.48,199.9,2.44
987.55,94.7,7.71,7.31,0.41,4.61,7.4,1241.15,1.15,1.96,194.6,3.25
988.1,93.7,7.45,6.98,0.47,4.41,7.07,1244.19,1.56,2.84,201,2.76
987.78,87.6,8.68,7.6,1.08,4.8,7.7,1233.84,1.38,2.2,181.8,4.92
987.1,72.9,11.38,8.3,3.09,5.25,8.41,1215.42,1.77,2.48,188.4,8.86
986.57,71.7,10.89,7.8,3.08,4.94,7.91,1217.85,2.15,3.12,184.6,8.2
986.06,75.6,9.16,6.92,2.23,4.38,7.02,1228.59,2.36,3.06,191.8,5.69
985.2,83.6,7.99,6.68,1.31,4.23,6.78,1236.27,1.05,2.14,190.6,3.74
984.27,89.5,7.34,6.57,0.77,4.16,6.67,1240.53,2.15,3.36,180.4,2.54
983.62,93,6.87,6.39,0.48,4.05,6.5,1243.89,1.66,2.92,178.6,1.63
982.36,91.5,8.45,7.73,0.72,4.91,7.87,1228.65,2.76,3.32,202.9,4.54
981.43,90,9.21,8.29,0.92,5.27,8.44,1221.84,1.31,1.72,238.5,5.77
980.51,93.2,8.16,7.61,0.55,4.84,7.76,1228.6,0.32,0.56,25.96,4.04
979.79,94.8,8.71,8.26,0.45,5.26,8.43,1223.29,0.6,1.08,232.2,4.97
979.45,93.5,9.17,8.57,0.6,5.46,8.75,1219.49,0.62,1.2,196,5.71
979.89,94.1,9.82,9.24,0.58,5.89,9.43,1215.37,1.49,2.24,197.7,6.7
980.97,96.5,9.78,9.44,0.34,6.01,9.62,1216.91,0.24,0.4,218.7,6.64
981.89,95.1,10.24,9.73,0.5,6.19,9.91,1215.04,0.5,1,189.3,7.3
983.24,84.6,9.47,8.01,1.46,5.08,8.15,1222.44,3.19,6.77,244.8,6.17
984.65,81.1,9.45,7.66,1.79,4.86,7.78,1224.5,3.01,5.29,256.5,6.14
986.06,80.5,9.22,7.42,1.8,4.69,7.53,1227.95,1.31,3.2,247.9,5.78
987.38,80.6,8.83,7.12,1.71,4.49,7.21,1232.48,1.12,2.4,229.6,5.16
988.62,82.1,8.79,7.22,1.57,4.55,7.3,1234.25,1.18,1.92,238.9,5.1
989.51,81.3,8.96,7.28,1.68,4.59,7.36,1234.13,0.65,1.52,211.3,5.37
990.83,81.8,8.96,7.33,1.63,4.61,7.39,1235.78,1.06,2.46,230.3,5.37
991.61,82.9,8.87,7.36,1.52,4.63,7.42,1237.34,1.86,3.24,238.5,5.23
992.63,81.4,8.9,7.25,1.66,4.55,7.3,1238.45,2.46,3.98,253.1,5.28
993.36,79.8,9,7.18,1.82,4.51,7.23,1238.73,2.51,4.04,255.3,5.43
994.18,82.2,8.79,7.23,1.56,4.53,7.27,1241.21,2.51,4.04,253.4,5.1
995.41,82.8,8.75,7.25,1.51,4.54,7.28,1243.04,3.25,5.25,251,5.04
996.72,80.4,8.97,7.21,1.76,4.51,7.23,1243.15,1.15,2.88,307.9,5.38
997.95,80.3,8.91,7.16,1.76,4.47,7.17,1245.09,1.46,3.28,229.6,5.3
998.21,78.5,9.22,7.24,1.98,4.52,7.25,1243.18,1.03,1.8,223.3,5.79
998.09,75.4,9.84,7.42,2.42,4.63,7.43,1238.81,0.89,1.4,167.4,6.72
998.36,75.9,10.11,7.67,2.44,4.79,7.69,1237.25,1.04,2.16,200.6,7.12
999.19,82.5,8.16,6.73,1.43,4.2,6.73,1252.53,2.76,3.44,229.2,4.03
999.38,86.8,7.59,6.59,1,4.11,6.59,1257.45,2.29,3.28,214.4,3.01
999.67,89.3,7.09,6.33,0.76,3.95,6.33,1262.33,1.15,1.6,206.5,2.06
999.69,92.9,6.51,6.05,0.46,3.77,6.05,1267.94,0.39,0.8,128.8,0.87
999.06,94.7,6.17,5.85,0.33,3.65,5.85,1270.59,0.43,0.96,234.5,0.15
998.37,95.3,6.24,5.95,0.29,3.72,5.96,1268.94,0.6,1.36,196.8,0.3
997.35,94.5,6.3,5.96,0.35,3.72,5.97,1267.04,1.66,2.96,187.5,0.43
995.9,94,6.68,6.28,0.4,3.93,6.3,1261.36,1.27,2.08,209.3,1.23
994.42,90,7.21,6.49,0.72,4.07,6.53,1254.51,2.09,3.14,210.2,2.3
992.96,94.2,7.12,6.71,0.41,4.21,6.76,1253.34,2.44,3.96,173.2,2.13
992.26,92.4,8.2,7.58,0.62,4.76,7.64,1243.08,2.17,3.02,178.2,4.11
991.23,96.3,8.25,7.95,0.31,5,8.02,1241.18,2.96,4.44,139,4.2
990.24,90.7,9.2,8.35,0.86,5.26,8.43,1232.85,2.52,5.57,184.3,5.76
989.6,90.2,9.87,8.9,0.97,5.61,8.99,1227.34,0.7,1.28,95.5,6.77
989.61,86.6,9.84,8.52,1.32,5.37,8.61,1227.7,2.07,3.56,231.2,6.73
989.87,92.3,9.43,8.7,0.73,5.49,8.79,1230.67,2.29,3.44,255.6,6.11
989.89,93.1,9.6,8.94,0.66,5.63,9.03,1229.45,1.92,3.72,255.1,6.37
989.59,89.9,9.64,8.66,0.97,5.46,8.76,1228.94,2.22,3.64,242.4,6.43
989.55,92.2,9.34,8.61,0.73,5.43,8.7,1230.94,1.82,4.73,7.11,5.97
989.79,90.6,7.82,7.08,0.74,4.46,7.16,1243.22,2.1,5.89,284.1,3.44
990.27,93.4,7.24,6.76,0.48,4.26,6.83,1248.86,1.9,3.8,282.8,2.36
990.52,95.3,6.77,6.45,0.32,4.06,6.51,1253.59,2.94,4.81,255.5,1.42
990.93,95.9,7.14,6.85,0.29,4.31,6.91,1250.55,1.92,4.44,251,2.16
992.35,96.1,7.17,6.89,0.28,4.33,6.94,1252.07,3.98,5.57,18.9,2.21
993.89,95.8,6.94,6.65,0.29,4.17,6.69,1256.19,5.78,7.87,24.13,1.76
995.15,95.7,6.65,6.37,0.29,3.99,6.4,1260.62,4.66,6.97,21.83,1.18
995.86,96.1,6.49,6.24,0.25,3.91,6.27,1263.1,4.78,7.25,22.9,0.85
996.4,95.9,6.41,6.15,0.26,3.85,6.17,1264.67,3.31,5.01,14.03,0.67
997.14,92.1,6.59,6.07,0.52,3.79,6.09,1263.9,3.45,4.77,20.67,1.04
998.08,89.9,6.39,5.74,0.64,3.59,5.75,1267.25,2.38,3.65,18.99,0.61
998.45,89.9,6.48,5.82,0.65,3.64,5.83,1266.77,0.53,1.36,35.08,0.81
998.56,89.4,6.43,5.74,0.68,3.59,5.75,1267.45,1.74,3.26,3.3,0.7
998.67,91.8,6.41,5.88,0.53,3.67,5.89,1267.7,0.77,1.32,22.45,0.66
998.6,90,6.45,5.81,0.65,3.63,5.82,1267.21,1.15,1.84,24.64,0.76
998.42,91.9,6.34,5.82,0.51,3.63,5.83,1268.15,1.8,2.6,11.51,0.5
998.25,92.2,6.24,5.75,0.49,3.59,5.76,1268.92,1.15,1.96,13.69,0.3
998,92.7,6.2,5.75,0.45,3.59,5.76,1268.97,1.37,2.34,19.67,0.22
998.01,92.8,6.27,5.81,0.45,3.63,5.83,1268.33,2.9,3.88,23.33,0.35
998.71,90.5,6.1,5.52,0.58,3.45,5.53,1271.02,2.77,4.01,23.36,-0.01
998.83,85.2,6.16,5.24,0.91,3.27,5.25,1270.78,3.42,4.77,42.93,0.11
998.71,82.7,6.25,5.17,1.08,3.22,5.17,1269.74,4.02,5.57,41.65,0.31
998.25,81.3,6.26,5.09,1.17,3.18,5.1,1269.03,1.89,3.12,49.49,0.34
997.97,81.4,6.24,5.08,1.16,3.17,5.09,1268.89,2.38,3.67,38.72,0.3
997.97,84,6.1,5.12,0.98,3.2,5.13,1270.36,1.15,2.12,56.83,-0.03
997.64,90.4,5.86,5.3,0.56,3.31,5.31,1272.35,0.99,1.56,41.82,-0.56
997.4,94.8,5.66,5.37,0.29,3.35,5.38,1274.24,0.46,0.84,19.46,-1.04
996.83,96.6,5.56,5.38,0.19,3.36,5.39,1274.6,1.51,2.16,41.14,-1.27
996.63,97.3,5.56,5.41,0.15,3.38,5.42,1274.41,1.52,2.04,42.68,-1.29
996.37,97.5,5.47,5.34,0.14,3.34,5.36,1275.08,2.58,3.69,39.84,-1.5
996.24,97.1,5.47,5.31,0.16,3.32,5.33,1274.98,3.6,5.01,32.54,-1.51
995.71,89.2,5.26,4.69,0.57,2.94,4.71,1277.03,4.12,6.09,27.26,-2.02
995.55,88.2,4.97,4.38,0.59,2.74,4.4,1280.66,5.15,7.69,42.06,-2.8
995.96,85.1,4.76,4.05,0.71,2.54,4.07,1283.98,5.42,7.25,37.4,-3.36
996.25,88.3,4.74,4.19,0.55,2.62,4.2,1284.58,3.6,4.69,40.03,-3.42
996.35,87,4.81,4.19,0.63,2.62,4.2,1283.79,4.97,7.01,42.46,-3.23
996.21,73.6,4.97,3.66,1.31,2.29,3.67,1281.83,3.26,4.61,70.6,-2.8
995.76,85.4,4.83,4.12,0.7,2.58,4.14,1282.88,3.66,4.97,34.36,-3.19
995.96,89.1,4.81,4.29,0.52,2.68,4.3,1283.23,4.26,5.45,37.64,-3.23
995.97,86.3,4.81,4.15,0.66,2.6,4.17,1283.34,3.53,4.81,44.54,-3.23
996.33,79.3,4.71,3.73,0.97,2.33,3.75,1285.33,3.67,4.69,42.1,-3.51
996.5,76.5,4.62,3.54,1.09,2.21,3.55,1286.82,3.28,5.09,61.68,-3.76
996.75,75.2,4.6,3.46,1.14,2.16,3.47,1287.54,1.93,3,67.39,-3.83
996.79,79.5,4.6,3.65,0.94,2.28,3.67,1287.51,3.3,4.17,40.99,-3.83
996.42,76,4.6,3.5,1.1,2.19,3.51,1287.03,2.46,3.57,56.34,-3.82
996.15,84.3,4.51,3.8,0.71,2.38,3.81,1287.87,3.62,4.81,40.31,-4.1
995.73,82.9,4.46,3.7,0.76,2.31,3.71,1288.03,2.52,4.05,52.11,-4.23
995.44,81.2,4.47,3.63,0.84,2.27,3.64,1287.6,1.01,1.6,31.06,-4.21
995.88,83.9,4.46,3.74,0.72,2.34,3.76,1288.16,3.08,4.77,34.46,-4.22
995.88,83.9,4.56,3.83,0.73,2.39,3.84,1286.73,2.35,3.45,36.88,-3.93
995.39,83.8,4.68,3.92,0.76,2.45,3.94,1284.47,3.46,4.61,42.27,-3.6
994.93,84.3,4.69,3.95,0.74,2.48,3.97,1283.68,2.67,3.53,36.34,-3.57
994.89,85.4,4.71,4.03,0.69,2.52,4.05,1283.27,2.28,2.68,35.91,-3.5
994.7,87.3,4.71,4.11,0.6,2.57,4.13,1283.07,2.33,3.41,31.5,-3.52
994.63,90.6,4.74,4.29,0.45,2.69,4.32,1282.49,3.57,4.81,40.06,-3.43
994.66,90.7,4.84,4.39,0.45,2.75,4.42,1281.11,3,3.93,37.82,-3.14
994.65,91,4.96,4.51,0.45,2.83,4.53,1279.56,2.87,4.61,36.4,-2.83
994.31,89.8,5.04,4.53,0.51,2.84,4.55,1278.03,2.6,3.65,37.81,-2.6
993.9,91.3,5,4.56,0.43,2.86,4.59,1278.02,2.95,4.73,36.01,-2.71
993.55,89.7,5.03,4.51,0.52,2.83,4.54,1277.23,2.87,4.73,56.64,-2.64
993.32,87.2,5.05,4.4,0.65,2.76,4.43,1276.7,1.84,3.55,54.51,-2.58
992.97,88.9,4.95,4.4,0.55,2.76,4.43,1277.52,2.2,3.2,29.38,-2.85
993.08,90.7,4.89,4.44,0.45,2.78,4.47,1278.4,1.47,2.68,38.81,-3.01
993.18,88.7,5,4.44,0.57,2.78,4.47,1277.08,2.58,4.39,26.19,-2.7
992.35,85,5.19,4.41,0.78,2.77,4.45,1273.68,3.7,5.77,23.06,-2.2
991.73,78.8,5.35,4.22,1.13,2.65,4.25,1271.08,4.08,5.05,37.86,-1.8
991.11,82.2,5.23,4.3,0.93,2.7,4.34,1271.65,3.71,4.93,35.64,-2.1
990.75,85.6,5.18,4.44,0.75,2.79,4.48,1271.75,3.43,4.97,34.04,-2.23
990.35,87.2,5.21,4.54,0.67,2.86,4.58,1270.91,3.52,4.65,42.19,-2.17
989.86,89,5.21,4.64,0.57,2.92,4.68,1270.19,3.03,3.65,45.74,-2.16
989.58,88.3,5.16,4.56,0.6,2.87,4.6,1270.47,3.36,4.85,39.74,-2.29
989.26,88.9,5.08,4.52,0.56,2.84,4.57,1271.04,3.78,4.73,32.2,-2.5
988.62,90.7,4.99,4.53,0.46,2.85,4.58,1271.36,3,4.17,25.87,-2.74
988.23,92.5,4.93,4.56,0.37,2.88,4.62,1271.58,2.6,3.71,36.76,-2.9
987.28,92.7,4.8,4.45,0.35,2.81,4.51,1272.06,1.39,2.28,11.05,-3.25
986.67,91.3,4.79,4.37,0.42,2.76,4.43,1271.55,2.16,3.36,6.54,-3.3
986.3,89.7,4.83,4.34,0.5,2.74,4.4,1270.45,2.06,2.8,23.93,-3.16
986.05,88.8,4.8,4.27,0.54,2.69,4.33,1270.57,1.67,2.96,10.07,-3.25
985.53,92.6,4.7,4.35,0.35,2.75,4.42,1271.2,1.09,1.68,21.03,-3.54
984.43,84.3,5.03,4.24,0.79,2.68,4.31,1265.6,1.28,1.82,9.83,-2.63
983.84,78.3,4.91,3.84,1.06,2.43,3.91,1266.57,2.06,2.68,40.09,-2.96
983.52,83.6,4.75,3.97,0.78,2.51,4.04,1268.17,0.54,1.2,43.16,-3.4
983.26,90.1,4.39,3.96,0.43,2.51,4.02,1272.72,0.54,0.96,12.48,-4.44
982.64,91,4.15,3.78,0.37,2.4,3.84,1275.5,0.48,0.84,36.74,-5.18
982.6,92.9,4.01,3.72,0.28,2.36,3.79,1277.69,1.11,1.56,32.02,-5.64
982.37,92.4,3.73,3.45,0.28,2.19,3.51,1281.98,1.11,1.82,241.3,-6.57
982.04,93.2,3.54,3.3,0.24,2.09,3.36,1284.96,0.74,1.4,218.9,-7.26
982.16,92.8,3.4,3.15,0.24,2,3.21,1287.66,0.52,0.8,205.5,-7.77
981.84,94.5,3.45,3.26,0.19,2.07,3.32,1286.31,0.93,1.44,225.1,-7.59
981.64,95,3.3,3.13,0.16,1.99,3.19,1288.88,1.84,2.4,241.8,-8.16
981.63,94.8,3.37,3.19,0.18,2.02,3.25,1287.52,1.08,1.68,224.3,-7.89
982.11,93.8,3.32,3.11,0.21,1.97,3.17,1289.07,1.9,2.2,246.7,-8.07
982.61,87.5,3.58,3.14,0.45,1.99,3.19,1284.96,1.92,3.49,64.55,-7.09
982.62,78.1,3.98,3.11,0.87,1.97,3.16,1278.5,0.92,1.36,37.61,-5.74
982.58,77.3,3.89,3.01,0.88,1.91,3.06,1279.82,2.19,3.53,10.77,-6.02
982.9,80.4,3.87,3.11,0.76,1.97,3.16,1280.6,1.02,2.16,27.25,-6.1
982.98,78.9,3.83,3.02,0.81,1.92,3.08,1281.29,1.34,2.84,358.7,-6.22
983.29,78.2,3.83,2.99,0.83,1.89,3.04,1281.85,1.04,1.68,6.07,-6.24
983.24,81.8,3.83,3.13,0.7,1.98,3.19,1281.66,1.21,1.8,248.2,-6.23
983.11,85.8,3.62,3.11,0.51,1.97,3.16,1284.99,2.05,4.29,260.6,-6.96
982.55,85.9,3.5,3.01,0.49,1.91,3.06,1286.4,1.13,3.12,241,-7.39
982.02,85.3,3.53,3.01,0.52,1.91,3.07,1285.17,1.38,3.81,151.5,-7.28
981.53,85.3,3.67,3.13,0.54,1.99,3.19,1282.03,1.15,2.2,121.2,-6.78
980.53,86.8,3.83,3.32,0.51,2.11,3.39,1278.04,1.36,2.36,236.3,-6.24
979.61,88.7,3.9,3.46,0.44,2.2,3.53,1275.55,1.48,3.81,282.9,-5.98
979.74,87.7,3.21,2.82,0.4,1.79,2.88,1288.14,4.88,6.91,24.06,-8.49
980.53,83.4,2.83,2.36,0.47,1.5,2.41,1297.2,3.89,6.11,26,-10.08
980.04,84.5,2.64,2.23,0.41,1.42,2.28,1300.97,4.61,6.17,30.36,-10.96
979.69,76.3,2.45,1.87,0.58,1.19,1.9,1305.42,3.19,5.97,51.61,-11.91
979.66,79.8,2.27,1.81,0.46,1.15,1.85,1310.12,5.17,6.49,34.24,-12.85
979.86,81,2.13,1.73,0.41,1.1,1.76,1314.11,4.69,6.01,37.98,-13.58
980.02,83.5,2.04,1.7,0.34,1.08,1.74,1317.13,3.15,5.05,38.26,-14.13
980.02,84.3,2.02,1.7,0.32,1.08,1.74,1317.74,3.83,5.01,35.24,-14.25
979.81,84.5,2.01,1.7,0.31,1.08,1.73,1317.82,3.29,4.77,40.99,-14.32
979.8,83.1,1.89,1.57,0.32,1,1.6,1321.7,4.17,6.29,34.98,-15.07
979.65,82.2,1.85,1.52,0.33,0.97,1.55,1322.65,3.09,4.41,42.66,-15.29
979.85,82.3,1.84,1.51,0.33,0.96,1.54,1323.39,3.57,4.57,25.19,-15.38
980.34,86.5,1.74,1.51,0.24,0.96,1.54,1327.29,2.94,4.55,39.02,-16.01
979.93,85.7,1.77,1.52,0.25,0.96,1.55,1325.75,2.4,3.36,30.58,-15.82
980.03,84.4,1.67,1.41,0.26,0.9,1.44,1329.51,1.29,2.16,6.57,-16.51
980.31,83.8,1.62,1.36,0.26,0.86,1.39,1331.68,1.02,2.08,6.79,-16.85
980.17,81.9,1.69,1.39,0.31,0.88,1.41,1328.93,2.13,3.08,12.31,-16.36
979.95,80.6,1.77,1.43,0.34,0.91,1.45,1325.93,1.94,3.45,17.34,-15.84
979.68,75.9,1.83,1.39,0.44,0.88,1.42,1323.48,1.72,2.7,9.66,-15.43
980.05,78,1.75,1.36,0.38,0.87,1.39,1326.87,0.71,1.32,310.3,-15.99
980.29,81.6,1.59,1.3,0.29,0.82,1.32,1333.09,2.35,2.76,246.9,-17.12
980.64,81.1,1.7,1.38,0.32,0.87,1.4,1329.47,1.76,2.24,248.7,-16.34
980.86,80.2,1.78,1.43,0.35,0.9,1.45,1326.85,1.06,1.36,230.8,-15.78
980.34,79.1,1.82,1.44,0.38,0.91,1.47,1324.81,2.14,2.72,229.6,-15.52
979.91,79.6,1.84,1.46,0.37,0.93,1.49,1323.54,1.97,3,171.6,-15.39
980.37,80.7,1.71,1.38,0.33,0.88,1.41,1328.59,1.6,2.28,233.8,-16.24
980.41,83.9,1.64,1.38,0.26,0.88,1.41,1331.08,2.04,3.12,164.3,-16.71
979.79,82.3,1.64,1.35,0.29,0.86,1.38,1330.41,0.93,1.44,185.4,-16.74
979.55,84.1,1.52,1.27,0.24,0.81,1.3,1334.96,1.4,2.56,167.9,-17.67
978.92,84.1,1.55,1.31,0.25,0.83,1.34,1332.52,1.91,2.92,189.7,-17.37
978.51,78.9,1.8,1.42,0.38,0.9,1.45,1322.9,2.14,2.88,207.3,-15.63
977.4,69.01,2.43,1.67,0.75,1.07,1.71,1302.96,3.86,5.69,151.8,-12.01
975.97,66.2,3,1.99,1.01,1.27,2.03,1287.83,3.08,5.53,172.7,-9.36
974.28,70.5,3.04,2.14,0.9,1.37,2.2,1284.64,3.34,4.87,180.7,-9.18
972.6,74.4,3.02,2.25,0.77,1.44,2.31,1282.86,4.74,6.63,185.4,-9.28
971.58,74.9,3.31,2.48,0.83,1.59,2.55,1275.69,4.64,7.97,187.8,-8.1
970.47,77.2,3.25,2.51,0.74,1.61,2.59,1275.32,3.2,4.45,192,-8.33
970.61,79.2,3.77,2.99,0.78,1.92,3.08,1266.14,5.49,7.53,202.9,-6.42
971.43,76.2,4.28,3.26,1.02,2.09,3.35,1259.35,6.02,8.53,209.4,-4.79
972.57,90.7,4.28,3.88,0.4,2.48,3.99,1260.55,2.64,6.37,226.3,-4.79
973.81,80.6,4.64,3.74,0.9,2.39,3.84,1257.11,0.78,1.8,118.9,-3.7
974.75,79.8,4.36,3.48,0.88,2.22,3.57,1262.37,2.82,6.13,223.4,-4.53
975.36,80.1,4.2,3.36,0.84,2.15,3.45,1265.54,4.48,6.51,209.9,-5.03
975.99,78.5,4.21,3.3,0.9,2.11,3.38,1266.3,4.92,6.97,212.3,-5.01
977.2,74.2,4.63,3.43,1.19,2.19,3.51,1261.85,5.74,7.61,215.4,-3.74
977.04,72,4.94,3.56,1.38,2.27,3.64,1257.54,1.65,3.16,141.5,-2.88
977.08,70.2,5.01,3.52,1.49,2.24,3.6,1256.75,4.19,6.01,146.8,-2.69
976.73,65.31,5.26,3.44,1.82,2.19,3.52,1253.29,3.18,5.25,176.8,-2.03
975.43,71.8,4.83,3.47,1.36,2.21,3.56,1256.9,1.95,2.8,195.5,-3.17
974.27,77.7,4.75,3.69,1.06,2.36,3.79,1256.38,3.05,4.25,201.9,-3.41
973.06,83.1,5.08,4.22,0.86,2.7,4.34,1250.32,2.46,3.57,195.7,-2.49
971.6,84.7,5.32,4.51,0.81,2.89,4.64,1245.43,2.13,3.59,179.9,-1.87
970.16,84.4,5.69,4.8,0.89,3.08,4.95,1239.35,2.47,3.81,207.2,-0.97
968.8,82.7,5.8,4.8,1,3.08,4.95,1236.42,1.88,2.92,175.9,-0.71
966.86,77.9,5.71,4.45,1.26,2.87,4.6,1235.03,3.21,4.61,175,-0.92
965.3,81.4,5.76,4.69,1.07,3.03,4.86,1232.41,3.25,4.73,181,-0.8
963.8,85.3,6.04,5.15,0.89,3.33,5.34,1227.37,4.29,6.13,188.1,-0.16
962.59,86.1,6.01,5.17,0.84,3.35,5.37,1226.12,1.95,3.24,185.2,-0.23
961.51,87.8,6.53,5.73,0.8,3.71,5.96,1219.39,2.75,3.72,174.3,0.91
960.88,82.1,8.38,6.88,1.5,4.47,7.16,1202.62,4.55,7.35,180.6,4.42
960.5,77.8,9.23,7.18,2.05,4.67,7.48,1196.04,3.59,4.89,168.5,5.81
960.84,76.5,10.31,7.89,2.42,5.12,8.21,1189.29,5.24,7.21,210.6,7.41
962.08,78.3,10.19,7.98,2.21,5.18,8.3,1191.51,7.03,9.65,207.7,7.24
963.59,76.9,9.73,7.48,2.25,4.84,7.77,1196.51,2.82,5.09,208.5,6.56
965.09,79.6,8.77,6.98,1.79,4.51,7.23,1205.07,2.68,3.12,225,5.06
965.28,78.6,8.65,6.8,1.85,4.39,7.05,1206.21,0.84,1.4,81.3,4.88
965.84,82.6,8.27,6.83,1.44,4.41,7.07,1209.69,2.3,2.72,222.6,4.23
965.29,89.5,7.68,6.87,0.81,4.44,7.12,1213.59,0.47,0.72,63.32,3.18
965.06,93.9,7,6.57,0.43,4.25,6.81,1219.19,0.6,1.2,298.5,1.88
965.43,94.8,6.03,5.71,0.31,3.69,5.92,1229.27,0.66,1,245.3,-0.18
965.16,96.2,5.83,5.6,0.22,3.62,5.81,1231.09,1.09,1.52,28.88,-0.65
966.03,96.7,5.92,5.73,0.2,3.7,5.93,1231.11,0.44,0.68,44.68,-0.42
967.62,97.2,5.81,5.64,0.16,3.64,5.83,1234.42,0.61,1.04,241.7,-0.69
969.93,96.4,6,5.79,0.22,3.72,5.97,1235.24,0.79,1.28,83.1,-0.24
971.68,94.5,6.29,5.95,0.35,3.82,6.12,1234.44,1.43,2.2,226.6,0.41
972.64,93.7,6.61,6.19,0.42,3.97,6.37,1232.5,1.19,2.24,168.9,1.09
973.66,83.9,7.34,6.16,1.18,3.94,6.32,1227.32,1.44,2,167.8,2.54
974.97,93.4,6.06,5.66,0.4,3.62,5.81,1241.12,1.76,2.32,223.5,-0.1
975.04,96.8,5.53,5.35,0.18,3.42,5.49,1247.07,0.5,0.84,303.1,-1.35
975.47,97.8,5.21,5.09,0.11,3.25,5.22,1251.48,1.73,2.6,161.3,-2.17
974.86,98.3,5.53,5.44,0.09,3.48,5.58,1246.81,1.42,2.04,208.2,-1.36
974.68,97.4,5.56,5.42,0.14,3.46,5.56,1246.22,1.48,2.2,199.2,-1.28
974.06,96.5,5.48,5.28,0.19,3.38,5.42,1246.46,0.64,1.08,136.1,-1.49
973.17,96.5,5.41,5.22,0.19,3.34,5.36,1246.1,0.37,0.68,86,-1.65
